RiverName,DivNdId,DivNdElev,DivNdOpt,ElemID,ElemElevAv,ElemElevMax,DistAct
Friant-Kern Canal,54,321,54,877,272.00,295,26.51
Friant-Kern Canal,54,321,54,878,320.25,366,18.21
Friant-Kern Canal,54,321,54,879,330.67,366,12.26
Friant-Kern Canal,54,321,54,880,347.00,412,6.15
Friant-Kern Canal,54,321,54,891,277.75,298,26.96
Friant-Kern Canal,54,321,54,892,315.25,337,20.45
Friant-Kern Canal,54,321,54,893,327.75,354,14.90
Friant-Kern Canal,54,321,54,894,350.67,409,10.20
Friant-Kern Canal,54,321,54,895,339.67,409,5.16
Friant-Kern Canal,54,321,54,970,353.75,369,27.85
Friant-Kern Canal,54,321,54,971,389.75,425,26.05
Friant-Kern Canal,54,321,54,972,474.50,568,24.29
Friant-Kern Canal,54,321,54,989,386.00,398,31.77
Friant-Kern Canal,54,321,54,990,460.25,568,31.24
Friant-Kern Canal,54,321,54,1049,482.50,524,43.45
Friant-Kern Canal,54,321,54,1064,464.00,609,50.84
Friant-Kern Canal,54,321,54,1065,469.00,524,47.95
Friant-Kern Canal,54,321,54,1080,491.50,609,57.26
Friant-Kern Canal,54,321,54,1091,427.75,492,65.13
Friant-Kern Canal,54,321,54,1093,431.25,498,74.16
Friant-Kern Canal,54,321,54,1097,530.25,824,81.01
Friant-Kern Canal,54,321,54,1099,524.50,824,85.87
Friant-Kern Canal,54,321,54,1105,498.00,623,90.41
Friant-Kern Canal,54,321,54,1104,481.00,623,93.59
Friant-Kern Canal,54,321,54,1119,407.75,528,99.40
Friant-Kern Canal,54,321,54,1120,512.33,622,102.49
Friant-Kern Canal,54,321,54,1127,475.50,622,109.38
Friant-Kern Canal,54,321,54,1155,434.75,488,115.97
Friant-Kern Canal,54,321,54,1157,421.75,444,119.98
Friant-Kern Canal,54,321,54,1172,432.25,482,124.76
Friant-Kern Canal,54,321,54,1177,375.50,406,125.46
Friant-Kern Canal,54,321,54,1183,372.25,409,131.18
Friant-Kern Canal,54,321,54,1203,352.00,409,134.40
Friant-Kern Canal,54,321,54,1208,364.00,441,138.59
Friant-Kern Canal,54,321,54,1220,229.00,254,139.35
Friant-Kern Canal,54,321,54,1221,251.25,280,140.60
Friant-Kern Canal,54,321,54,1235,246.75,269,146.50
Friant-Kern Canal,54,321,54,1236,279.00,313,147.83
Friant-Kern Canal,54,321,54,1249,245.00,265,150.57
Friant-Kern Canal,54,321,54,1251,288.00,313,152.49
Friant-Kern Canal,54,321,54,1252,312.00,341,154.80
Friant-Kern Canal,54,321,54,1265,249.75,265,153.40
Friant-Kern Canal,54,321,54,1270,272.75,297,158.80
Friant-Kern Canal,54,321,54,1271,286.25,301,159.03
Friant-Kern Canal,54,321,54,1272,317.50,346,160.13
Friant-Kern Canal,54,321,54,1273,367.50,392,161.81
Friant-Kern Canal,54,321,54,1223,359.50,441,143.83
Friant-Kern Canal,54,321,54,1238,376.75,452,149.91
Friant-Kern Canal,54,321,54,1254,425.75,506,156.55
Friant-Kern Canal,54,321,54,1274,446.75,506,163.29
Friant-Kern Canal,54,321,54,1286,415.75,498,169.36
Friant-Kern Canal,54,321,54,1299,368.00,417,175.08
Friant-Kern Canal,54,321,54,1300,468.50,570,175.66
Friant-Kern Canal,54,321,54,1311,453.00,570,180.83
Friant-Kern Canal,54,321,54,1323,415.00,505,186.01
Friant-Kern Canal,54,321,54,1358,472.75,567,209.62
Friant-Kern Canal,54,321,54,1370,624.00,1127,215.41
Friant-Kern Canal,54,321,54,1369,440.75,489,217.99
Friant-Kern Canal,54,321,54,916,412.67,442,12.47
Friant-Kern Canal,54,321,54,933,458.00,507,18.76
Friant-Kern Canal,54,321,54,1022,402.00,489,39.75
Friant-Kern Canal,54,321,54,1023,468.75,511,37.96
